name,selection_score,accuracy,balanced_accuracy,macro_f1,macro_f1_present_classes,weighted_f1,log_loss,multiclass_brier,ece_macro
temperature_scaling,0.5856567536679769,0.7549991871240449,0.6445497134853259,0.6122215202440603,0.6122215202440603,0.7741166299508546,0.42110242317026114,0.25669209677601984,0.05509645417570324
none,0.5848801825569553,0.7549991871240449,0.6445497134853259,0.6122215202440603,0.6122215202440603,0.7741166299508546,0.43152403035807174,0.2618088612784742,0.05765136169201354
ovr_isotonic,-1000000000.0,0.8252858613775538,0.6373518007989554,0.5635085310753888,0.5635085310753888,0.7872490808129541,0.3817025046290176,0.23069375488247984,0.002025392270492891
multinomial_logistic,-1000000000.0,0.8255026282989216,0.6364124084378863,0.5633892849436278,0.5633892849436278,0.787104845165906,0.38283613869446653,0.23117230828032664,0.0014742484482561048
dirichlet,-1000000000.0,0.8252316696472118,0.6363163646156592,0.5632059614041315,0.5632059614041315,0.7869280397520639,0.3829675020129925,0.23121455108710748,0.001721915694607574
